# can_id	bit_offset	width_bits	signed	factor	offset	unit	name	comment
408	41	1	0	1	0		Tu12L_xUnterbrDi	Türe 1L (A) od. Türe 2L (B)  Unterbrechung Digitalausgang
408	42	1	0	1	0		Tu12L_xMotBrueck	Türe 1L (A) od. Türe 2L (B)  Ueberhitzung Motorbrücke
408	43	1	0	1	0		Tu12L_x36V	Türe 1L (A) od. Türe 2L (B)  Fehler 36V Spannungsversorgung
408	44	1	0	1	0		Tu12L_xLichtsch	Türe 1L (A) od. Türe 2L (B)  Fehler Lichtschranke
408	46	1	0	1	0		Tu12L_xRelais_K2	Tür 1L (A) od. Tür 2L (B) Sicherheitselais K2 defekt
409	0	1	0	1	0		Tu12R_xTuerezu	Türe geschlossen und verriegelt
409	0	16	0	1	0		Tu12R_wStatus	Statuswort von der Türsteuerung
409	1	1	0	1	0		Tu12R_xTuereOffe	Türe komplett offen
409	2	1	0	1	0		Tu12R_xTuereSich	Türe ist sicher
409	3	1	0	1	0		Tu12R_xTuerAbges	Türe ist abgesperrt
409	4	1	0	1	0		Tu12R_xHaltewuns	Haltewunsch liegt an
409	5	1	0	1	0		Tu12R_xKinderw	Kinderwagenwunsch liegt an
409	6	1	0	1	0		Tu12R_xNotentrie	Türe 1R (A) od. Türe 2R (B) notentriegelt
409	7	1	0	1	0		Tu12R_xBlockiert	Türe 1R  wurde mit Dienstschalter in Offenposition blockiert
409	32	1	0	1	0		Tu12R_xSpeicherF	Türe 1R (A) od. Türe 2R (B) Speicherfehler Türsteuerung
409	32	16	0	1	0		Tu12R_wError	Fehlerwort der Türsteuerung
409	33	1	0	1	0		Tu12R_xMoSensDef	Türe 1R (A) od. Türe 2R (B)  Keine Türbewegung erkannt
409	34	1	0	1	0		Tu12R_x12V	Türe 1R (A) od. Türe 2R (B)  Fehler 12V Spannungsversorgung
409	35	1	0	1	0		Tu12R_xTuerOpen	Türe 1R (A) od. Türe 2R (B)  Fehler Türblattkontrollschalter offen
409	36	1	0	1	0		Tu12R_xTuerClose	Türe 1R (A) od. Türe 2R (B)  Fehler Türblattkontrollschalter geschlossen
409	37	1	0	1	0		Tu12R_xReveClose	Türe 1R (A) od. Türe 2R (B)  Reversierversuche schliessen Tür überschritten
409	38	1	0	1	0		Tu12R_xReveOpen	Türe 1R (A) od. Türe 2R (B)  Reversierversuche öffnen Tür überschritten
409	39	1	0	1	0		Tu12R_xSchaltLDe	Türe 1R (A) od. Türe 2R (B)  Schaltleiste defekt
409	40	1	0	1	0		Tu12R_xKSDigAusg	Türe 1R (A) od. Türe 2R (B)  Fehler Kurzschluss Digitalausgang
409	41	1	0	1	0		Tu12R_xUnterbrDi	Türe 1R (A) od. Türe 2R (B)  Unterbrechung Digitalausgang
409	42	1	0	1	0		Tu12R_xMotBrueck	Türe 1R (A) od. Türe 2R (B)  Ueberhitzung Motorbrücke
409	43	1	0	1	0		Tu12R_x36V	Türe 1R (A) od. Türe 2R (B)  Fehler 36V Spannungsversorgung
